role_code,competency_code,indicator_code,assessment_tool_code
MLE,PL-4,PL-4.2,LAB-R1.1
MLE,PL-4,PL-4.2,LAB-R1.2
MLE,DL-3,DL-3.3,LAB-R2.1
MLE,DL-3,DL-3.3,LAB-R2.2
MLE,LC-5,LC-5.1,LAB-R3.1
MLE,LC-5,LC-5.1,LAB-R3.2
MLE,DL-1,DL-1.11,LAB-R4.1
MLE,DL-1,DL-1.11,LAB-R4.2
MLE,DL-3,DL-3.3,LAB-R5.1
MLE,DL-3,DL-3.3,LAB-R5.2
MLE,LC-5,LC-5.1,LAB-R6.1
MLE,PL-4,PL-4.2,LAB-R6.1
MLE,LC-5,LC-5.1,LAB-R6.2
MLE,PL-4,PL-4.2,LAB-R6.2
MLE,PL-4,PL-4.2,OS-3
MLE,PL-4,PL-4.2,OS-5
MLE,PL-4,PL-4.2,OS-6
MLE,DL-1,DL-1.11,OS-2
MLE,DL-1,DL-1.11,OS-3
MLE,DL-1,DL-1.11,OS-4
MLE,DL-1,DL-1.11,OS-5
MLE,DL-1,DL-1.11,OS-6
MLE,LC-5,LC-5.1,OS-2
MLE,LC-5,LC-5.1,OS-3
MLE,LC-5,LC-5.1,OS-4
MLE,LC-5,LC-5.1,OS-5
MLE,LC-5,LC-5.1,OS-6
MLE,DL-3,DL-3.3,OS-2
MLE,DL-3,DL-3.3,OS-3
MLE,DL-3,DL-3.3,OS-5
MLE,DL-3,DL-3.3,OS-6
